S.r,Meter No.,IME,Phase,WAREHOUSE_STATUS,FINAL SIM,WAREHOUSE_UTILITY,IMSI,IP,Make
181,LT0585185,865681061533007,1 Phase,S2S repaired,8991856040706235135,NBPDCL,405856706780145,2405:0203:0529:BC1B:0000:0000:0000:0010,L&T
182,LT0949982,868886067423528,1 Phase,S2S repaired,8991856040706939874,NBPDCL,405856707484869,2405:0203:052F:B805:0000:0000:0000:0010,L&T
183,LT0587305,865681067117581,1 Phase,S2S repaired,8991856040706112520,NBPDCL,405856706657542,2405:0203:0529:C463:0000:0000:0000:0010,L&T
184,LT0883834,868886064995486,1 Phase,S2S repaired,8991856040706556647,NBPDCL,405856707101656,2405:0203:052E:6862:0000:0000:0000:0010,L&T
185,LT0762705,868886060781724,1 Phase,S2S repaired,8991856040706659303,NBPDCL,405856707204303,2405:0203:052C:5C63:0000:0000:0000:0010,L&T
186,LT0762701,865681069391234,1 Phase,S2S repaired,8991856040706659315,NBPDCL,405856707204315,2405:0203:052C:5C5F:0000:0000:0000:0010,L&T
187,LT0945097,868886065580345,1 Phase,S2S repaired,8991856040706786494,NBPDCL,405856707331497,2405:0203:052F:A4F0:0000:0000:0000:0010,L&T
188,LT0556100,865681062784666,1 Phase,S2S repaired,8991856040706094310,NBPDCL,405856706639332,2405:0203:0529:1B90:0000:0000:0000:0010,L&T
189,LT0762333,865681069944875,1 Phase,S2S repaired,8991856040706437242,NBPDCL,405856706982251,2405:0203:052C:5AEF:0000:0000:0000:0010,L&T
190,LT0776472,865681069930890,1 Phase,S2S repaired,8991856040706634056,NBPDCL,405856707179056,2405:0203:052C:922A:0000:0000:0000:0010,L&T
191,LT0948641,868886067503014,1 Phase,S2S repaired,8991856040706498153,NBPDCL,405856707043162,2405:0203:052F:B2C8:0000:0000:0000:0010,L&T
192,LT0575411,865681062241485,1 Phase,S2S repaired,8991856040706117835,NBPDCL,405856706662857,2405:0203:0529:95ED:0000:0000:0000:0010,L&T
193,LT0768552,865681069664747,1 Phase,S2S repaired,8991856040706438930,NBPDCL,405856706983939,2405:0203:052C:733A:0000:0000:0000:0010,L&T
194,LT0707041,860953069134004,1 Phase,S2S repaired,8991856040706572658,NBPDCL,405856707117667,2405:0203:052B:AA03:0000:0000:0000:0010,L&T
195,LT0330609,869810058921513,1 Phase,S2S repaired,8991856050706483683,NBPDCL,405856706478683,2405:0203:0525:3C23:0000:0000:0000:0010,L&T
196,LT0329875,869810056202692,1 Phase,S2S repaired,8991856050706482585,NBPDCL,405856706477585,2405:0203:0525:3945:0000:0000:0000:0010,L&T
197,LT0617619,860953060018776,1 Phase,S2S repaired,8991856040706042919,NBPDCL,405856706587941,2405:0203:052A:137A:0000:0000:0000:0010,L&T
198,LT0614332,860953060042115,1 Phase,S2S repaired,8991856040706179663,NBPDCL,405856706724672,2405:0203:052A:06A3:0000:0000:0000:0010,L&T
199,LT0385007,869810059227092,1 Phase,S2S repaired,8991856040706148047,NBPDCL,405856706693069,2405:0203:0526:03EE:0000:0000:0000:0010,L&T
200,LT0574557,865681062650768,1 Phase,S2S repaired,8991856040706118247,NBPDCL,405856706663269,2405:0203:0529:9297:0000:0000:0000:0010,L&T
201,LT0270396,869810056000823,1 Phase,S2S repaired,8991856050706432742,NBPDCL,405856706427742,2405:0203:0525:B000:0000:0000:0000:0010,L&T
202,LT0759153,860953068858413,1 Phase,S2S repaired,8991856040706669639,NBPDCL,405856707214639,2405:0203:052C:4E83:0000:0000:0000:0010,L&T
203,LT0585819,865681062634770,1 Phase,S2S repaired,8991856040706236251,NBPDCL,405856706781261,2405:0203:0529:BE95:0000:0000:0000:0010,L&T
204,LT0555782,865681067138504,1 Phase,S2S repaired,8991856040706091605,NBPDCL,405856706636627,2405:0203:0529:1A52:0000:0000:0000:0010,L&T
205,LT0761696,860953069339702,1 Phase,S2S repaired,8991856040706708605,NBPDCL,405856707253613,2405:0203:052C:5872:0000:0000:0000:0010,L&T
206,LT0959343,868886067460421,1 Phase,S2S repaired,8991856040706788833,NBPDCL,405856707333836,2405:0203:052F:DC96:0000:0000:0000:0010,L&T
207,LT0777561,860953068814572,1 Phase,S2S repaired,8991856040706433492,NBPDCL,405856706978501,2405:0203:052C:966B:0000:0000:0000:0010,L&T
208,LT0384396,869810058439318,1 Phase,S2S repaired,8991856040706145578,NBPDCL,405856706690600,2405:0203:0526:018B:0000:0000:0000:0010,L&T
209,LT0945419,868886067425234,1 Phase,S2S repaired,8991856040706786763,NBPDCL,405856707331766,2405:0203:052F:A632:0000:0000:0000:0010,L&T
210,LT0583875,865681062194791,1 Phase,S2S repaired,8991856040706117028,NBPDCL,405856706662050,2405:0203:0529:B6FD:0000:0000:0000:0010,L&T
211,LT0613376,860953060009262,1 Phase,S2S repaired,8991856040706040934,NBPDCL,405856706585956,2405:0203:052A:02E7:0000:0000:0000:0010,L&T
212,LT0555369,865681067129826,1 Phase,S2S repaired,8991856040706094126,NBPDCL,405856706639148,2405:0203:0529:18B5:0000:0000:0000:0010,L&T
213,LT0384264,869810058892540,1 Phase,S2S repaired,8991856040706148267,NBPDCL,405856706693289,2405:0203:0526:0107:0000:0000:0000:0010,L&T
214,LT0553070,865575064288546,1 Phase,S2S repaired,8991856040706090602,NBPDCL,405856706635624,2405:0203:0529:0FBA:0000:0000:0000:0010,L&T
215,LT0763084,860953069216454,1 Phase,S2S repaired,8991856040706659777,NBPDCL,405856707204777,2405:0203:052C:5DDE:0000:0000:0000:0010,L&T
216,LT0758868,860953069112976,1 Phase,S2S repaired,8991856040706605930,NBPDCL,405856707150939,2405:0203:052C:4D66:0000:0000:0000:0010,L&T
217,LT0766377,868886060761437,1 Phase,S2S repaired,8991856040706437735,NBPDCL,405856706982744,2405:0203:052C:6ABB:0000:0000:0000:0010,L&T
218,LT0381121,869810058413859,1 Phase,S2S repaired,8991856040706254267,NBPDCL,405856706799276,2405:0203:0525:F4C0:0000:0000:0000:0010,L&T
219,LT0777425,860953069095809,1 Phase,S2S repaired,8991856040706706608,NBPDCL,405856707251616,2405:0203:052C:95E3:0000:0000:0000:0010,L&T
220,LT0777499,865681069511542,1 Phase,S2S repaired,8991856040706697839,NBPDCL,405856707242847,2405:0203:052C:962D:0000:0000:0000:0010,L&T
221,LT0614548,860953060275517,1 Phase,S2S repaired,8991856040706107953,NBPDCL,405856706652975,2405:0203:052A:077B:0000:0000:0000:0010,L&T
222,LT0574498,865681061221645,1 Phase,S2S repaired,8991856040706118350,NBPDCL,405856706663372,2405:0203:0529:925C:0000:0000:0000:0010,L&T
223,LT0817485,860953065506536,1 Phase,S2S repaired,8991856040706673096,SBPDCL,405856707218096,2405:0203:052D:6536:0000:0000:0000:0010,L&T
224,LT0916223,860953064831687,1 Phase,S2S repaired,8991856040707105117,SBPDCL,405856707650112,2405:0203:052F:1AA0:0000:0000:0000:0010,L&T
225,LT0951185,868886067530264,1 Phase,S2S repaired,8991856040706939773,SBPDCL,405856707484768,2405:0203:052F:BCB8:0000:0000:0000:0010,L&T
226,LT0091931,861996078350151,1 Phase,S2S repaired,8991856050706283760,SBPDCL,405856706283760,2405:0203:0521:5011:0000:0000:0000:0010,L&T
227,LT0462208,865681061813755,1 Phase,S2S repaired,8991856040706226715,SBPDCL,405856706771724,2405:0203:0527:EE80:0000:0000:0000:0010,L&T
228,LT0333560,869810056202650,1 Phase,S2S repaired,8991856050706499180,SBPDCL,405856706494180,2405:0203:0525:6EBA:0000:0000:0000:0010,L&T
229,LT0309378,869810055854204,1 Phase,S2S repaired,8991856050706409270,SBPDCL,405856706409270,2405:0203:0524:781E:0000:0000:0000:0010,L&T
230,LT0893374,860953065029133,1 Phase,S2S repaired,8991856040706461741,SBPDCL,405856707006750,2405:0203:052E:8DA7:0000:0000:0000:0010,L&T
231,LT0393639,869810059015422,1 Phase,S2S repaired,8991856040706263691,SBPDCL,405856706808700,2405:0203:0526:25A6:0000:0000:0000:0010,L&T
232,LT0155879,861190057367440,1 Phase,S2S repaired,8991856050706142655,SBPDCL,405856706142655,2405:0203:0522:7D34:0000:0000:0000:0010,L&T
233,LT0558251,861996077241369,1 Phase,S2S repaired,8991856040706415851,SBPDCL,405856706960860,2405:0203:0529:23F7:0000:0000:0000:0010,L&T
234,LT0010384,866545057226885,1 Phase,S2S repaired,8991856050706028662,SBPDCL,405856706028662,2405:0203:0520:2188:0000:0000:0000:0010,L&T
235,LT0835604,860953066180257,1 Phase,S2S repaired,8991856040706526823,SBPDCL,405856707071832,2405:0203:052D:ABFD:0000:0000:0000:0010,L&T
236,LT0393638,865681060057396,1 Phase,S2S repaired,8991856040706260953,SBPDCL,405856706805962,2405:0203:0526:25A5:0000:0000:0000:0010,L&T
237,LT0984960,865575062559609,1 Phase,S2S repaired,8991856040706759644,SBPDCL,405856707304647,2405:0203:0530:D1E9:0000:0000:0000:0010,L&T
238,LT0407454,865681061665312,1 Phase,S2S repaired,8991856050706545837,SBPDCL,405856706540837,2405:0203:0526:6357:0000:0000:0000:0010,L&T
239,LT0558670,865681062102331,1 Phase,S2S repaired,8991856040706418170,SBPDCL,405856706963179,2405:0203:0529:259A:0000:0000:0000:0010,L&T
240,LT0395476,869810058504608,1 Phase,S2S repaired,8991856040706359806,SBPDCL,405856706904815,2405:0203:0526:2CD3:0000:0000:0000:0010,L&T
241,LT0292850,869810055412755,1 Phase,S2S repaired,8991856050706454055,SBPDCL,405856706449055,2405:0203:0524:C4B3:0000:0000:0000:0010,L&T
242,LT0241754,869810055490603,1 Phase,S2S repaired,8991856050706324470,SBPDCL,405856706324470,2405:0203:0523:E1E6:0000:0000:0000:0010,L&T
243,LT0904873,861996077226980,1 Phase,S2S repaired,8991856040707062812,SBPDCL,405856707607807,2405:0203:052E:E089:0000:0000:0000:0010,L&T
244,LT0894121,860953064915993,1 Phase,S2S repaired,8991856040706522289,SBPDCL,405856707067298,2405:0203:052E:9092:0000:0000:0000:0010,L&T
245,LT0112200,861190054476111,1 Phase,S2S repaired,8991856050706232423,SBPDCL,405856706232423,2405:0203:0521:B0B5:0000:0000:0000:0010,L&T
246,LT0816819,860953060286472,1 Phase,S2S repaired,8991856040706522787,SBPDCL,405856707067796,2405:0203:052D:629C:0000:0000:0000:0010,L&T
247,LT0987654,868886067677230,1 Phase,S2S repaired,8991856040706466675,SBPDCL,405856707011684,2405:0203:0530:23EC:0000:0000:0000:0010,L&T
248,LT0942783,868886065578794,1 Phase,S2S repaired,8991856040706786198,SBPDCL,405856707331201,2405:0203:052F:7C7E:0000:0000:0000:0010,L&T
249,LT0727877,860953069417870,1 Phase,S2S repaired,8991856040706640956,SBPDCL,405856707185956,2405:0203:052D:12C2:0000:0000:0000:0010,L&T
250,LT0034332,861089054287454,1 Phase,S2S repaired,8991856050706279419,SBPDCL,405856706279419,2405:0203:0520:8F41:0000:0000:0000:0010,L&T
251,LT0462631,865681062334819,1 Phase,S2S repaired,8991856040706241658,SBPDCL,405856706786668,2405:0203:0527:F027:0000:0000:0000:0010,L&T
252,LT0852503,868886064759486,1 Phase,S2S repaired,8991856040706596573,SBPDCL,405856707141582,2405:0203:052D:EDFF:0000:0000:0000:0010,L&T
253,LT0979056,868886065596341,1 Phase,S2S repaired,8991856040707104589,SBPDCL,405856707649584,2405:0203:0530:BAD9:0000:0000:0000:0010,L&T
254,LT0140482,861190056998070,1 Phase,S2S repaired,8991856050706119381,SBPDCL,405856706119381,2405:0203:0522:3B27:0000:0000:0000:0010,L&T
255,LT0456669,865681062587598,1 Phase,S2S repaired,8991856040706320350,NBPDCL,405856706865359,2405:0203:0528:3B03:0000:0000:0000:0010,L&T
256,LT0876619,868886064705760,1 Phase,S2S repaired,8991856040706512471,SBPDCL,405856707057480,2405:0203:052E:4C33:0000:0000:0000:0010,L&T
257,LT1033866,861996078329403,1 Phase,S2S repaired,8991856040706550776,SBPDCL,405856707095785,2405:0203:0531:1552:0000:0000:0000:0010,L&T
258,LT0974331,861996077248638,1 Phase,S2S repaired,8991856040706469055,SBPDCL,405856707014064,2405:0203:0530:1722:0000:0000:0000:0010,L&T
259,LT0907994,860953064747560,1 Phase,S2S repaired,8991856040707035021,SBPDCL,405856707580016,2405:0203:052E:ECBA:0000:0000:0000:0010,L&T
260,LT0907898,860953065009358,1 Phase,S2S repaired,8991856040707035796,SBPDCL,405856707580791,2405:0203:052E:EC5A:0000:0000:0000:0010,L&T
261,LT0970369,861996078341705,1 Phase,S2S repaired,8991856040706924898,SBPDCL,405856707469903,2405:0203:0530:07A8:0000:0000:0000:0010,L&T
262,LT1035481,861996078321707,1 Phase,S2S repaired,8991856040706941832,SBPDCL,405856707486827,2405:0203:0531:1BA1:0000:0000:0000:0010,L&T
263,LT0907467,860953064861478,1 Phase,S2S repaired,8991856040707060774,SBPDCL,405856707605769,2405:0203:052E:EAAB:0000:0000:0000:0010,L&T
264,LT0976926,868886067464522,1 Phase,S2S repaired,8991856040707101542,SBPDCL,405856707646537,2405:0203:0530:B287:0000:0000:0000:0010,L&T
265,LT1034726,861996078327431,1 Phase,S2S repaired,8991856040706554820,SBPDCL,405856707099829,2405:0203:0531:18AE:0000:0000:0000:0010,L&T
266,LT0876756,861996077262852,1 Phase,S2S repaired,8991856040706555589,SBPDCL,405856707100598,2405:0203:052E:4CBC:0000:0000:0000:0010,L&T
267,LT1035644,861996078340152,1 Phase,S2S repaired,8991856040706793829,SBPDCL,405856707338832,2405:0203:0531:1C44:0000:0000:0000:0010,L&T
268,LT1036200,868886068429599,1 Phase,S2S repaired,8991856040706941928,SBPDCL,405856707486923,2405:0203:0531:1E70:0000:0000:0000:0010,L&T
269,LT0725416,861996078330617,1 Phase,S2S repaired,8991856040706644713,SBPDCL,405856707189713,2405:0203:052D:0925:0000:0000:0000:0010,L&T
270,LT0972527,868886067750185,1 Phase,S2S repaired,8991856040706835191,SBPDCL,405856707380194,2405:0203:0530:1016:0000:0000:0000:0010,L&T
271,LT0972988,865575062649053,1 Phase,S2S repaired,8991856040707100258,SBPDCL,405856707645253,2405:0203:0530:11E3:0000:0000:0000:0010,L&T
272,LT1035706,865575062692723,1 Phase,S2S repaired,8991856040706794822,SBPDCL,405856707339825,2405:0203:0531:1C82:0000:0000:0000:0010,L&T
273,LT0974036,868886065372149,1 Phase,S2S repaired,8991856040707104491,SBPDCL,405856707649486,2405:0203:0530:15FB:0000:0000:0000:0010,L&T
274,LT0973262,861996078328959,1 Phase,S2S repaired,8991856040707101006,SBPDCL,405856707646001,2405:0203:0530:12F5:0000:0000:0000:0010,L&T
275,LT0970370,868886067469257,1 Phase,S2S repaired,8991856040706924891,SBPDCL,405856707469896,2405:0203:0530:07A9:0000:0000:0000:0010,L&T
276,LT0973047,868886065506548,1 Phase,S2S repaired,8991856040707104152,SBPDCL,405856707649147,2405:0203:0530:121E:0000:0000:0000:0010,L&T
277,LT0889723,860953064607236,1 Phase,S2S repaired,8991856040706444037,SBPDCL,405856706989046,2405:0203:052E:7F64:0000:0000:0000:0010,L&T
278,LT0915319,861996078366363,1 Phase,S2S repaired,8991856040707106705,SBPDCL,405856707651700,2405:0203:052F:1718:0000:0000:0000:0010,L&T
279,LT0973856,868886065570585,1 Phase,S2S repaired,8991856040707101334,SBPDCL,405856707646329,2405:0203:0530:1547:0000:0000:0000:0010,L&T
280,LT0725183,861996077260914,1 Phase,S2S repaired,8991856040706644612,SBPDCL,405856707189612,2405:0203:052D:083C:0000:0000:0000:0010,L&T
281,LT0725417,865681069500768,1 Phase,S2S repaired,8991856040706644715,SBPDCL,405856707189715,2405:0203:052D:0926:0000:0000:0000:0010,L&T
282,LT0915549,861996077249925,1 Phase,S2S repaired,8991856040707106235,SBPDCL,405856707651230,2405:0203:052F:17FE:0000:0000:0000:0010,L&T
283,LT0838892,861996077255096,1 Phase,S2S repaired,8991856040706507762,SBPDCL,405856707052771,2405:0203:052D:B8D5:0000:0000:0000:0010,L&T
284,LT0915746,861996077249164,1 Phase,S2S repaired,8991856040707106370,SBPDCL,405856707651365,2405:0203:052F:18C3:0000:0000:0000:0010,L&T
285,LT0972702,868886067718174,1 Phase,S2S repaired,8991856040706835378,SBPDCL,405856707380381,2405:0203:0530:10C5:0000:0000:0000:0010,L&T
286,LT0973190,861996078324107,1 Phase,S2S repaired,8991856040707104118,SBPDCL,405856707649113,2405:0203:0530:12AD:0000:0000:0000:0010,L&T
287,LT0915550,861996077251483,1 Phase,S2S repaired,8991856040707106280,SBPDCL,405856707651275,2405:0203:052F:17FF:0000:0000:0000:0010,L&T
288,LT1035702,868886068607897,1 Phase,S2S repaired,8991856040706793863,SBPDCL,405856707338866,2405:0203:0531:1C7E:0000:0000:0000:0010,L&T
289,LT0725116,860953069387842,1 Phase,S2S repaired,8991856040706644591,SBPDCL,405856707189591,2405:0203:052D:07F9:0000:0000:0000:0010,L&T
290,LT1035487,861996077252531,1 Phase,S2S repaired,8991856040706941830,SBPDCL,405856707486825,2405:0203:0531:1BA7:0000:0000:0000:0010,L&T
291,LT1035226,861996078331995,1 Phase,S2S repaired,8991856040706552403,SBPDCL,405856707097412,2405:0203:0531:1AA2:0000:0000:0000:0010,L&T
292,LT0907709,860953064668386,1 Phase,S2S repaired,8991856040707035028,SBPDCL,405856707580023,2405:0203:052E:EB9D:0000:0000:0000:0010,L&T
293,LT1033426,868886068430332,1 Phase,S2S repaired,8991856040706880249,SBPDCL,405856707425254,2405:0203:0531:139A:0000:0000:0000:0010,L&T
294,LT1031332,865575062789834,1 Phase,S2S repaired,8991856040706792938,SBPDCL,405856707337941,2405:0203:0531:0B6C:0000:0000:0000:0010,L&T
295,LT1026776,868886068686743,1 Phase,S2S repaired,8991856040706796777,NBPDCL,405856707341780,2405:0203:0530:EBD9:0000:0000:0000:0010,L&T
296,LT0788677,860953069479854,1 Phase,S2S repaired,8991856040706658203,NBPDCL,405856707203203,2405:0203:052C:C1D7:0000:0000:0000:0010,L&T
297,LT0969260,868886067678725,1 Phase,S2S repaired,8991856040706755024,NBPDCL,405856707300027,2405:0203:0530:0353:0000:0000:0000:0010,L&T
298,LT0639844,860953060086757,1 Phase,S2S repaired,8991856040706144803,NBPDCL,405856706689825,2405:0203:052A:4309:0000:0000:0000:0010,L&T
299,LT0454325,865681061410552,1 Phase,S2S repaired,8991856040706322234,NBPDCL,405856706867243,2405:0203:0528:31DB:0000:0000:0000:0010,L&T
300,LT0888653,860953064967127,1 Phase,S2S repaired,8991856040706588088,NBPDCL,405856707133097,2405:0203:052E:7B35:0000:0000:0000:0010,L&T
301,LT0965748,868886067709983,1 Phase,S2S repaired,8991856040706759607,NBPDCL,405856707304610,2405:0203:052F:F59B:0000:0000:0000:0010,L&T
302,LT0453458,865681060993731,1 Phase,S2S repaired,8991856040706322046,NBPDCL,405856706867055,2405:0203:0528:2E78:0000:0000:0000:0010,L&T
303,LT0967902,868886067674641,1 Phase,S2S repaired,8991856040706757341,NBPDCL,405856707302344,2405:0203:052F:FE05:0000:0000:0000:0010,L&T
304,LT0965843,868886067707581,1 Phase,S2S repaired,8991856040706759608,NBPDCL,405856707304611,2405:0203:052F:F5FA:0000:0000:0000:0010,L&T
305,LT0888101,860953065116971,1 Phase,S2S repaired,8991856040706463209,NBPDCL,405856707008218,2405:0203:052E:790D:0000:0000:0000:0010,L&T
306,LT0968863,868886067749773,1 Phase,S2S repaired,8991856040706755950,NBPDCL,405856707300953,2405:0203:0530:01C6:0000:0000:0000:0010,L&T
307,LT0304186,869810055240818,1 Phase,S2S repaired,8991856050706463929,NBPDCL,405856706458929,2405:0203:0524:DD73:0000:0000:0000:0010,L&T
308,LT0970242,868886067574023,1 Phase,S2S repaired,8991856040706924932,NBPDCL,405856707469937,2405:0203:0530:0729:0000:0000:0000:0010,L&T
309,LT0306007,861996077255310,1 Phase,S2S repaired,8991856050706435584,NBPDCL,405856706430584,2405:0203:0524:E490:0000:0000:0000:0010,L&T
310,LT0303076,861996078345664,1 Phase,S2S repaired,8991856050706463767,NBPDCL,405856706458767,2405:0203:0524:D91D:0000:0000:0000:0010,L&T
311,LT0412449,869810058501927,1 Phase,S2S repaired,8991856050706501564,NBPDCL,405856706496564,2405:0203:0526:8A7B:0000:0000:0000:0010,L&T
312,LT0306271,861996077249446,1 Phase,S2S repaired,8991856050706405956,NBPDCL,405856706405956,2405:0203:0524:E598:0000:0000:0000:0010,L&T
313,LT0640939,861996077243076,1 Phase,S2S repaired,8991856040706217612,NBPDCL,405856706762621,2405:0203:052A:4750:0000:0000:0000:0010,L&T
314,LT0970183,861996077241245,1 Phase,S2S repaired,8991856040706861982,NBPDCL,405856707406985,2405:0203:0530:06EE:0000:0000:0000:0010,L&T
315,LT0303805,861996078344022,1 Phase,S2S repaired,8991856050706464124,NBPDCL,405856706459124,2405:0203:0524:DBF6:0000:0000:0000:0010,L&T
316,LT0305894,861996077260542,1 Phase,S2S repaired,8991856050706381331,NBPDCL,405856706381331,2405:0203:0524:E41F:0000:0000:0000:0010,L&T
317,LT1027375,868886068663114,1 Phase,S2S repaired,8991856040706794593,NBPDCL,405856707339596,2405:0203:0530:EE30:0000:0000:0000:0010,L&T
318,LT0969205,868886065361563,1 Phase,S2S repaired,8991856040706755051,NBPDCL,405856707300054,2405:0203:0530:031C:0000:0000:0000:0010,L&T
319,LT0566619,861996077226667,1 Phase,S2S repaired,8991856040706398793,NBPDCL,405856706943802,2405:0203:0529:44A7:0000:0000:0000:0010,L&T
320,LT0302454,861996078368302,1 Phase,S2S repaired,8991856050706463365,NBPDCL,405856706458365,2405:0203:0524:D6AF:0000:0000:0000:0010,L&T
321,LT0642503,861996078322101,1 Phase,S2S repaired,8991856040706184125,NBPDCL,405856706729134,2405:0203:052A:4D6C:0000:0000:0000:0010,L&T
322,LT0512438,869810059000754,1 Phase,S2S repaired,8991856040706030371,NBPDCL,405856706575393,2405:0203:0528:82C2:0000:0000:0000:0010,L&T
323,LT0205436,861996078331086,1 Phase,S2S repaired,8991856050706292070,NBPDCL,405856706292070,2405:0203:0522:FACD:0000:0000:0000:0010,L&T
324,LT0513869,869810059037764,1 Phase,S2S repaired,8991856040706033253,NBPDCL,405856706578275,2405:0203:0528:8859:0000:0000:0000:0010,L&T
325,LT0330238,861996078350888,1 Phase,S2S repaired,8991856050706480531,NBPDCL,405856706475531,2405:0203:0525:3AB0:0000:0000:0000:0010,L&T
326,LT0677079,865681069717040,1 Phase,S2S repaired,8991856040706011786,NBPDCL,405856706556808,2405:0203:052B:2CC7:0000:0000:0000:0010,L&T
327,LT0704172,860953069173184,1 Phase,S2S repaired,8991856040706571367,NBPDCL,405856707116376,2405:0203:052B:9ECE:0000:0000:0000:0010,L&T
328,LT0513793,869810058585417,1 Phase,S2S repaired,8991856040706033143,NBPDCL,405856706578165,2405:0203:0528:880D:0000:0000:0000:0010,L&T
329,LT0704914,861996078351902,1 Phase,S2S repaired,8991856040706570172,NBPDCL,405856707115181,2405:0203:052B:A1B4:0000:0000:0000:0010,L&T
330,LT0513868,869810058982291,1 Phase,S2S repaired,8991856040706033240,NBPDCL,405856706578262,2405:0203:0528:8858:0000:0000:0000:0010,L&T
331,LT0880720,868886064781555,1 Phase,S2S repaired,8991856040706556993,NBPDCL,405856707102002,2405:0203:052E:5C38:0000:0000:0000:0010,L&T
332,LT0513412,869810058588494,1 Phase,S2S repaired,8991856040706016442,NBPDCL,405856706561464,2405:0203:0528:8690:0000:0000:0000:0010,L&T
333,LT0328066,861996077252614,1 Phase,S2S repaired,8991856050706471856,NBPDCL,405856706466856,2405:0203:0525:3234:0000:0000:0000:0010,L&T
334,LT1010666,868886068458812,1 Phase,S2S repaired,8991856040706845337,NBPDCL,405856707390340,2405:0203:0530:6A2F:0000:0000:0000:0010,L&T
335,LT1012630,861996077262092,1 Phase,S2S repaired,8991856040706743945,NBPDCL,405856707288948,2405:0203:0530:71DB:0000:0000:0000:0010,L&T
336,LT1015391,868886068711939,1 Phase,S2S repaired,8991856040707115852,NBPDCL,405856707660847,2405:0203:0530:7CA4:0000:0000:0000:0010,L&T
337,LT0516711,865681061682671,1 Phase,S2S repaired,8991856040706019149,NBPDCL,405856706564171,2405:0203:0528:9373:0000:0000:0000:0010,L&T
338,LT1014956,861996077242581,1 Phase,S2S repaired,8991856040707116028,NBPDCL,405856707661023,2405:0203:0530:7AF1:0000:0000:0000:0010,L&T
339,LT0326310,861996078339170,1 Phase,S2S repaired,8991856050706421577,NBPDCL,405856706416577,2405:0203:0525:2B58:0000:0000:0000:0010,L&T
340,LT0517122,865681061948684,1 Phase,S2S repaired,8991856040706028839,NBPDCL,405856706573861,2405:0203:0528:950E:0000:0000:0000:0010,L&T
341,LT0330875,869810059164691,1 Phase,S2S repaired,8991856050706483868,NBPDCL,405856706478868,2405:0203:0525:3D2D:0000:0000:0000:0010,L&T
342,LT0960954,861996078321566,1 Phase,S2S repaired,8991856040706839706,SBPDCL,405856707384709,2405:0203:052F:E2E1:0000:0000:0000:0010,L&T
343,LT0960994,865575062561027,1 Phase,S2S repaired,8991856040706839610,SBPDCL,405856707384613,2405:0203:052F:E309:0000:0000:0000:0010,L&T
344,LT0483419,865681061377033,1 Phase,S2S repaired,8991856040706351558,SBPDCL,405856706896567,2405:0203:0528:738C:0000:0000:0000:0010,L&T
345,LT0854114,868886064578068,1 Phase,S2S repaired,8991856040706615138,SBPDCL,405856707160147,2405:0203:052D:F44A:0000:0000:0000:0010,L&T
346,LT0331407,869810059016271,1 Phase,S2S repaired,8991856050706482053,SBPDCL,405856706477053,2405:0203:0525:6651:0000:0000:0000:0010,L&T
347,LT0313318,861996078350862,1 Phase,S2S repaired,8991856050706488555,SBPDCL,405856706483555,2405:0203:0524:ED97:0000:0000:0000:0010,L&T
348,LT0839219,861996077244041,1 Phase,S2S repaired,8991856040706506854,SBPDCL,405856707051863,2405:0203:052D:BA1C:0000:0000:0000:0010,L&T
349,LT0988868,868886067633654,1 Phase,S2S repaired,8991856040706466464,SBPDCL,405856707011473,2405:0203:0530:28AA:0000:0000:0000:0010,L&T
350,LT0961341,868886067647530,1 Phase,S2S repaired,8991856040706839339,SBPDCL,405856707384342,2405:0203:052F:E464:0000:0000:0000:0010,L&T
351,LT0835397,860953066027458,1 Phase,S2S repaired,8991856040706527568,SBPDCL,405856707072577,2405:0203:052D:AB2E:0000:0000:0000:0010,L&T
352,LT0712016,860953069186723,1 Phase,S2S repaired,8991856040706452835,SBPDCL,405856706997844,2405:0203:052B:BD72:0000:0000:0000:0010,L&T
353,LT0719550,860953069308038,1 Phase,S2S repaired,8991856040706724751,SBPDCL,405856707269754,2405:0203:052C:F23B:0000:0000:0000:0010,L&T
354,LT1032461,861996077252887,1 Phase,S2S repaired,8991856040706944013,SBPDCL,405856707489008,2405:0203:0531:0FD5:0000:0000:0000:0010,L&T
355,LT0980569,868886067647332,1 Phase,S2S repaired,8991856040706837702,SBPDCL,405856707382705,2405:0203:0530:C0C2:0000:0000:0000:0010,L&T
356,LT0960953,861996078314728,1 Phase,S2S repaired,8991856040706839658,SBPDCL,405856707384661,2405:0203:052F:E2E0:0000:0000:0000:0010,L&T
357,LT0979137,868886067395759,1 Phase,S2S repaired,8991856040706468832,SBPDCL,405856707013841,2405:0203:0530:BB2A:0000:0000:0000:0010,L&T
358,LT0839095,860953065544156,1 Phase,S2S repaired,8991856040706507343,SBPDCL,405856707052352,2405:0203:052D:B9A0:0000:0000:0000:0010,L&T
359,LT0672752,865681069518794,1 Phase,S2S repaired,8991856040706267939,SBPDCL,405856706812959,2405:0203:052B:1BE0:0000:0000:0000:0010,L&T
360,LT0836151,860953066055434,1 Phase,S2S repaired,8991856040706527238,SBPDCL,405856707072247,2405:0203:052D:AE20:0000:0000:0000:0010,L&T
