S.R,METER NO.,IME,PHASE,WAREHOUSE_STATUS,FINAL SIM,WAREHOUSE_UTILITY,IMSI,IP,MAKE,MFG_SERIAL_NUM,METER_MATCH_UDC_ID,METER_MATCH_IP,INSTALLATIONNUMBER,METER_MATCH_STATUS,METER_MATCH_UTILITY,IMSI_MATCHED_METER_NO,IMSI_MATCHED_IP,IMSI_MATCHED_STATUS,IMSI_MATCHED_UTILITY,IP_MATCHED_METER_NO,IP_MATCH_UDC_ID,IP_MATCHED_IP,IP_MATCHED_STATUS,IP_MATCHED_UTILITY,SIM SET CHECK STATUS,METER_SIM,METER_ORG,SIM_ORG,METER_IP,SIM SET CHECK STATUS RECHECK,ACTION TAKEN,NEW_METER_NUMBER,Duplicated
291,LT1035226,861996078331995,1 Phase,S2S repaired,8991856040706552403,SBPDCL,405856707097412,2405:0203:0531:1AA2:0000:0000:0000:0010,L&T,LT1035226,405856707097412,2405:0203:0531:1AA2:0000:0000:0000:0010,5002628666,Retired,SBPDCL,LT1035226,2405:0203:0531:1AA2:0000:0000:0000:0010,Retired,SBPDCL,LT1035226,405856707097412,2405:0203:0531:1AA2:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1035226,Unique
292,LT0907709,860953064668386,1 Phase,S2S repaired,8991856040707035028,SBPDCL,405856707580023,2405:0203:052E:EB9D:0000:0000:0000:0010,L&T,LT0907709,405856707580023,2405:0203:052E:EB9D:0000:0000:0000:0010,5002577002,Retired,SBPDCL,LT0907709,2405:0203:052E:EB9D:0000:0000:0000:0010,Retired,SBPDCL,LT0907709,405856707580023,2405:0203:052E:EB9D:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0907709,Unique
293,LT1033426,868886068430332,1 Phase,S2S repaired,8991856040706880249,SBPDCL,405856707425254,2405:0203:0531:139A:0000:0000:0000:0010,L&T,LT1033426,405856707425254,2405:0203:0531:139A:0000:0000:0000:0010,5003881059,Retired,SBPDCL,LT1033426,2405:0203:0531:139A:0000:0000:0000:0010,Retired,SBPDCL,LT1033426,405856707425254,2405:0203:0531:139A:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1033426,Unique
294,LT1031332,865575062789834,1 Phase,S2S repaired,8991856040706792938,SBPDCL,405856707337941,2405:0203:0531:0B6C:0000:0000:0000:0010,L&T,LT1031332,405856707337941,2405:0203:0531:0B6C:0000:0000:0000:0010,5003868696,Retired,SBPDCL,LT1031332,2405:0203:0531:0B6C:0000:0000:0000:0010,Retired,SBPDCL,LT1031332,405856707337941,2405:0203:0531:0B6C:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1031332,Unique
295,LT1026776,868886068686743,1 Phase,S2S repaired,8991856040706796777,NBPDCL,405856707341780,2405:0203:0530:EBD9:0000:0000:0000:0010,L&T,LT1026776,405856707341780,2405:0203:0530:EBD9:0000:0000:0000:0010,521510670114,Installed,NBPDCL,LT1026776,2405:0203:0530:EBD9:0000:0000:0000:0010,Installed,NBPDCL,LT1026776,405856707341780,2405:0203:0530:EBD9:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT1026776,Unique
296,LT0788677,860953069479854,1 Phase,S2S repaired,8991856040706658203,NBPDCL,405856707203203,2405:0203:052C:C1D7:0000:0000:0000:0010,L&T,LT0788677,405856707203203,2405:0203:052C:C1D7:0000:0000:0000:0010,5003409090,Retired,NBPDCL,LT0788677,2405:0203:052C:C1D7:0000:0000:0000:0010,Retired,NBPDCL,LT0788677,405856707203203,2405:0203:052C:C1D7:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0788677,Unique
297,LT0969260,868886067678725,1 Phase,S2S repaired,8991856040706755024,NBPDCL,405856707300027,2405:0203:0530:0353:0000:0000:0000:0010,L&T,LT0969260,405856707300027,2405:0203:0530:0353:0000:0000:0000:0010,5001504865,Retired,NBPDCL,LT0969260,2405:0203:0530:0353:0000:0000:0000:0010,Retired,NBPDCL,LT0969260,405856707300027,2405:0203:0530:0353:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0969260,Unique
298,LT0639844,860953060086757,1 Phase,S2S repaired,8991856040706144803,NBPDCL,405856706689825,2405:0203:052A:4309:0000:0000:0000:0010,L&T,LT0639844,405856706689825,2405:0203:052A:4309:0000:0000:0000:0010,5003004861,Retired,NBPDCL,LT0639844,2405:0203:052A:4309:0000:0000:0000:0010,Retired,NBPDCL,LT0639844,405856706689825,2405:0203:052A:4309:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0639844,Unique
299,LT0454325,865681061410552,1 Phase,S2S repaired,8991856040706322234,NBPDCL,405856706867243,2405:0203:0528:31DB:0000:0000:0000:0010,L&T,LT0454325,405856706867243,2405:0203:0528:31DB:0000:0000:0000:0010,5003751936,Retired,NBPDCL,LT0454325,2405:0203:0528:31DB:0000:0000:0000:0010,Retired,NBPDCL,LT0454325,405856706867243,2405:0203:0528:31DB:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0454325,Unique
300,LT0888653,860953064967127,1 Phase,S2S repaired,8991856040706588088,NBPDCL,405856707133097,2405:0203:052E:7B35:0000:0000:0000:0010,L&T,LT0888653,405856707133097,2405:0203:052E:7B35:0000:0000:0000:0010,5000482732,Retired,NBPDCL,LT0888653,2405:0203:052E:7B35:0000:0000:0000:0010,Retired,NBPDCL,LT0888653,405856707133097,2405:0203:052E:7B35:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0888653,Unique
301,LT0965748,868886067709983,1 Phase,S2S repaired,8991856040706759607,NBPDCL,405856707304610,2405:0203:052F:F59B:0000:0000:0000:0010,L&T,LT0965748,405856707304610,2405:0203:052F:F59B:0000:0000:0000:0010,5003607581,Retired,NBPDCL,LT0965748,2405:0203:052F:F59B:0000:0000:0000:0010,Retired,NBPDCL,LT0965748,405856707304610,2405:0203:052F:F59B:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0965748,Unique
302,LT0453458,865681060993731,1 Phase,S2S repaired,8991856040706322046,NBPDCL,405856706867055,2405:0203:0528:2E78:0000:0000:0000:0010,L&T,LT0453458,405856706867055,2405:0203:0528:2E78:0000:0000:0000:0010,5003878954,Retired,NBPDCL,LT0453458,2405:0203:0528:2E78:0000:0000:0000:0010,Retired,NBPDCL,LT0453458,405856706867055,2405:0203:0528:2E78:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0453458,Unique
303,LT0967902,868886067674641,1 Phase,S2S repaired,8991856040706757341,NBPDCL,405856707302344,2405:0203:052F:FE05:0000:0000:0000:0010,L&T,LT0967902,405856707302344,2405:0203:052F:FE05:0000:0000:0000:0010,5000690716,Retired,NBPDCL,LT0967902,2405:0203:052F:FE05:0000:0000:0000:0010,Retired,NBPDCL,LT0967902,405856707302344,2405:0203:052F:FE05:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0967902,Unique
304,LT0965843,868886067707581,1 Phase,S2S repaired,8991856040706759608,NBPDCL,405856707304611,2405:0203:052F:F5FA:0000:0000:0000:0010,L&T,LT0965843,405856707304611,2405:0203:052F:F5FA:0000:0000:0000:0010,5002361862,Retired,NBPDCL,LT0965843,2405:0203:052F:F5FA:0000:0000:0000:0010,Retired,NBPDCL,LT0965843,405856707304611,2405:0203:052F:F5FA:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0965843,Unique
305,LT0888101,860953065116971,1 Phase,S2S repaired,8991856040706463209,NBPDCL,405856707008218,2405:0203:052E:790D:0000:0000:0000:0010,L&T,LT0888101,405856707008218,2405:0203:052E:790D:0000:0000:0000:0010,5003820667,Retired,NBPDCL,LT0888101,2405:0203:052E:790D:0000:0000:0000:0010,Retired,NBPDCL,LT0888101,405856707008218,2405:0203:052E:790D:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0888101,Unique
306,LT0968863,868886067749773,1 Phase,S2S repaired,8991856040706755950,NBPDCL,405856707300953,2405:0203:0530:01C6:0000:0000:0000:0010,L&T,LT0968863,405856707300953,2405:0203:0530:01C6:0000:0000:0000:0010,5003047750,Retired,NBPDCL,LT0968863,2405:0203:0530:01C6:0000:0000:0000:0010,Retired,NBPDCL,LT0968863,405856707300953,2405:0203:0530:01C6:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0968863,Unique
307,LT0304186,869810055240818,1 Phase,S2S repaired,8991856050706463929,NBPDCL,405856706458929,2405:0203:0524:DD73:0000:0000:0000:0010,L&T,LT0304186,405856706458929,2405:0203:0524:DD73:0000:0000:0000:0010,5003107669,Retired,NBPDCL,LT0304186,2405:0203:0524:DD73:0000:0000:0000:0010,Retired,NBPDCL,LT0304186,405856706458929,2405:0203:0524:DD73:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0304186,Unique
308,LT0970242,868886067574023,1 Phase,S2S repaired,8991856040706924932,NBPDCL,405856707469937,2405:0203:0530:0729:0000:0000:0000:0010,L&T,LT0970242,405856707469937,2405:0203:0530:0729:0000:0000:0000:0010,5003090738,Retired,NBPDCL,LT0970242,2405:0203:0530:0729:0000:0000:0000:0010,Retired,NBPDCL,LT0970242,405856707469937,2405:0203:0530:0729:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0970242,Unique
309,LT0306007,861996077255310,1 Phase,S2S repaired,8991856050706435584,NBPDCL,405856706430584,2405:0203:0524:E490:0000:0000:0000:0010,L&T,LT0306007,405856706430584,2405:0203:0524:E490:0000:0000:0000:0010,5002843180,Retired,NBPDCL,LT0306007,2405:0203:0524:E490:0000:0000:0000:0010,Retired,NBPDCL,LT0306007,405856706430584,2405:0203:0524:E490:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0306007,Unique
310,LT0303076,861996078345664,1 Phase,S2S repaired,8991856050706463767,NBPDCL,405856706458767,2405:0203:0524:D91D:0000:0000:0000:0010,L&T,LT0303076,405856706458767,2405:0203:0524:D91D:0000:0000:0000:0010,5000797555,Retired,NBPDCL,LT0303076,2405:0203:0524:D91D:0000:0000:0000:0010,Retired,NBPDCL,LT0303076,405856706458767,2405:0203:0524:D91D:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0303076,Unique
311,LT0412449,869810058501927,1 Phase,S2S repaired,8991856050706501564,NBPDCL,405856706496564,2405:0203:0526:8A7B:0000:0000:0000:0010,L&T,LT0412449,405856706496564,2405:0203:0526:8A7B:0000:0000:0000:0010,5002810451,Installed,NBPDCL,LT0412449,2405:0203:0526:8A7B:0000:0000:0000:0010,Installed,NBPDCL,LT0412449,405856706496564,2405:0203:0526:8A7B:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0412449,Unique
312,LT0306271,861996077249446,1 Phase,S2S repaired,8991856050706405956,NBPDCL,405856706405956,2405:0203:0524:E598:0000:0000:0000:0010,L&T,LT0306271,405856706405956,2405:0203:0524:E598:0000:0000:0000:0010,5000785136,Retired,NBPDCL,LT0306271,2405:0203:0524:E598:0000:0000:0000:0010,Retired,NBPDCL,LT0306271,405856706405956,2405:0203:0524:E598:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0306271,Unique
313,LT0640939,861996077243076,1 Phase,S2S repaired,8991856040706217612,NBPDCL,405856706762621,2405:0203:052A:4750:0000:0000:0000:0010,L&T,LT0640939,405856706762621,2405:0203:052A:4750:0000:0000:0000:0010,5003882518,Retired,NBPDCL,LT0640939,2405:0203:052A:4750:0000:0000:0000:0010,Retired,NBPDCL,LT0640939,405856706762621,2405:0203:052A:4750:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0640939,Unique
314,LT0970183,861996077241245,1 Phase,S2S repaired,8991856040706861982,NBPDCL,405856707406985,2405:0203:0530:06EE:0000:0000:0000:0010,L&T,LT0970183,405856707406985,2405:0203:0530:06EE:0000:0000:0000:0010,5000472372,Retired,NBPDCL,LT0970183,2405:0203:0530:06EE:0000:0000:0000:0010,Retired,NBPDCL,LT0970183,405856707406985,2405:0203:0530:06EE:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0970183,Unique
315,LT0303805,861996078344022,1 Phase,S2S repaired,8991856050706464124,NBPDCL,405856706459124,2405:0203:0524:DBF6:0000:0000:0000:0010,L&T,LT0303805,405856706459124,2405:0203:0524:DBF6:0000:0000:0000:0010,5002035865,Retired,NBPDCL,LT0303805,2405:0203:0524:DBF6:0000:0000:0000:0010,Retired,NBPDCL,LT0303805,405856706459124,2405:0203:0524:DBF6:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0303805,Unique
316,LT0305894,861996077260542,1 Phase,S2S repaired,8991856050706381331,NBPDCL,405856706381331,2405:0203:0524:E41F:0000:0000:0000:0010,L&T,LT0305894,405856706381331,2405:0203:0524:E41F:0000:0000:0000:0010,5002910268,Retired,NBPDCL,LT0305894,2405:0203:0524:E41F:0000:0000:0000:0010,Retired,NBPDCL,LT0305894,405856706381331,2405:0203:0524:E41F:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0305894,Unique
317,LT1027375,868886068663114,1 Phase,S2S repaired,8991856040706794593,NBPDCL,405856707339596,2405:0203:0530:EE30:0000:0000:0000:0010,L&T,LT1027375,405856707339596,2405:0203:0530:EE30:0000:0000:0000:0010,521510266307,Retired,NBPDCL,LT1027375,2405:0203:0530:EE30:0000:0000:0000:0010,Retired,NBPDCL,LT1027375,405856707339596,2405:0203:0530:EE30:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1027375,Unique
318,LT0969205,868886065361563,1 Phase,S2S repaired,8991856040706755051,NBPDCL,405856707300054,2405:0203:0530:031C:0000:0000:0000:0010,L&T,LT0969205,405856707300054,2405:0203:0530:031C:0000:0000:0000:0010,5000490099,Retired,NBPDCL,LT0969205,2405:0203:0530:031C:0000:0000:0000:0010,Retired,NBPDCL,LT0969205,405856707300054,2405:0203:0530:031C:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0969205,Unique
319,LT0566619,861996077226667,1 Phase,S2S repaired,8991856040706398793,NBPDCL,405856706943802,2405:0203:0529:44A7:0000:0000:0000:0010,L&T,LT0566619,405856706943802,2405:0203:0529:44A7:0000:0000:0000:0010,5000501267,Retired,NBPDCL,LT0566619,2405:0203:0529:44A7:0000:0000:0000:0010,Retired,NBPDCL,LT0566619,405856706943802,2405:0203:0529:44A7:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0566619,Unique
320,LT0302454,861996078368302,1 Phase,S2S repaired,8991856050706463365,NBPDCL,405856706458365,2405:0203:0524:D6AF:0000:0000:0000:0010,L&T,LT0302454,405856706458365,2405:0203:0524:D6AF:0000:0000:0000:0010,5000689779,Retired,NBPDCL,LT0302454,2405:0203:0524:D6AF:0000:0000:0000:0010,Retired,NBPDCL,LT0302454,405856706458365,2405:0203:0524:D6AF:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0302454,Unique
321,LT0642503,861996078322101,1 Phase,S2S repaired,8991856040706184125,NBPDCL,405856706729134,2405:0203:052A:4D6C:0000:0000:0000:0010,L&T,LT0642503,405856706729134,2405:0203:052A:4D6C:0000:0000:0000:0010,5000480290,Retired,NBPDCL,LT0642503,2405:0203:052A:4D6C:0000:0000:0000:0010,Retired,NBPDCL,LT0642503,405856706729134,2405:0203:052A:4D6C:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0642503,Unique
322,LT0512438,869810059000754,1 Phase,S2S repaired,8991856040706030371,NBPDCL,405856706575393,2405:0203:0528:82C2:0000:0000:0000:0010,L&T,LT0512438,405856706575393,2405:0203:0528:82C2:0000:0000:0000:0010,MOTS1220,Retired,NBPDCL,LT0512438,2405:0203:0528:82C2:0000:0000:0000:0010,Retired,NBPDCL,LT0512438,405856706575393,2405:0203:0528:82C2:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0512438,Unique
323,LT0205436,861996078331086,1 Phase,S2S repaired,8991856050706292070,NBPDCL,405856706292070,2405:0203:0522:FACD:0000:0000:0000:0010,L&T,LT0205436,405856706292070,2405:0203:0522:FACD:0000:0000:0000:0010,MUZW-2342200006,Retired,NBPDCL,LT0205436,2405:0203:0522:FACD:0000:0000:0000:0010,Retired,NBPDCL,LT0205436,405856706292070,2405:0203:0522:FACD:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0205436,Unique
324,LT0513869,869810059037764,1 Phase,S2S repaired,8991856040706033253,NBPDCL,405856706578275,2405:0203:0528:8859:0000:0000:0000:0010,L&T,LT0513869,405856706578275,2405:0203:0528:8859:0000:0000:0000:0010,S3329,Retired,NBPDCL,LT0513869,2405:0203:0528:8859:0000:0000:0000:0010,Retired,NBPDCL,LT0513869,405856706578275,2405:0203:0528:8859:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0513869,Unique
325,LT0330238,861996078350888,1 Phase,S2S repaired,8991856050706480531,NBPDCL,405856706475531,2405:0203:0525:3AB0:0000:0000:0000:0010,L&T,LT0330238,405856706475531,2405:0203:0525:3AB0:0000:0000:0000:0010,MOTS1385,Retired,NBPDCL,LT0330238,2405:0203:0525:3AB0:0000:0000:0000:0010,Retired,NBPDCL,LT0330238,405856706475531,2405:0203:0525:3AB0:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0330238,Unique
326,LT0677079,865681069717040,1 Phase,S2S repaired,8991856040706011786,NBPDCL,405856706556808,2405:0203:052B:2CC7:0000:0000:0000:0010,L&T,LT0677079,405856706556808,2405:0203:052B:2CC7:0000:0000:0000:0010,MOTS1563,Installed,NBPDCL,LT0677079,2405:0203:052B:2CC7:0000:0000:0000:0010,Installed,NBPDCL,LT0677079,405856706556808,2405:0203:052B:2CC7:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0677079,Unique
327,LT0704172,860953069173184,1 Phase,S2S repaired,8991856040706571367,NBPDCL,405856707116376,2405:0203:052B:9ECE:0000:0000:0000:0010,L&T,LT0704172,405856707116376,2405:0203:052B:9ECE:0000:0000:0000:0010,52165069405,Installed,NBPDCL,LT0704172,2405:0203:052B:9ECE:0000:0000:0000:0010,Installed,NBPDCL,LT0704172,405856707116376,2405:0203:052B:9ECE:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0704172,Unique
328,LT0513793,869810058585417,1 Phase,S2S repaired,8991856040706033143,NBPDCL,405856706578165,2405:0203:0528:880D:0000:0000:0000:0010,L&T,LT0513793,405856706578165,2405:0203:0528:880D:0000:0000:0000:0010,MOTS2488,Retired,NBPDCL,LT0513793,2405:0203:0528:880D:0000:0000:0000:0010,Retired,NBPDCL,LT0513793,405856706578165,2405:0203:0528:880D:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0513793,Unique
329,LT0704914,861996078351902,1 Phase,S2S repaired,8991856040706570172,NBPDCL,405856707115181,2405:0203:052B:A1B4:0000:0000:0000:0010,L&T,LT0704914,405856707115181,2405:0203:052B:A1B4:0000:0000:0000:0010,MOTS1883,Installed,NBPDCL,LT0704914,2405:0203:052B:A1B4:0000:0000:0000:0010,Installed,NBPDCL,LT0704914,405856707115181,2405:0203:052B:A1B4:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0704914,Unique
330,LT0513868,869810058982291,1 Phase,S2S repaired,8991856040706033240,NBPDCL,405856706578262,2405:0203:0528:8858:0000:0000:0000:0010,L&T,LT0513868,405856706578262,2405:0203:0528:8858:0000:0000:0000:0010,MOTS1488,Retired,NBPDCL,LT0513868,2405:0203:0528:8858:0000:0000:0000:0010,Retired,NBPDCL,LT0513868,405856706578262,2405:0203:0528:8858:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0513868,Unique
331,LT0880720,868886064781555,1 Phase,S2S repaired,8991856040706556993,NBPDCL,405856707102002,2405:0203:052E:5C38:0000:0000:0000:0010,L&T,LT0880720,405856707102002,2405:0203:052E:5C38:0000:0000:0000:0010,MOTM1022,Retired,NBPDCL,LT0880720,2405:0203:052E:5C38:0000:0000:0000:0010,Retired,NBPDCL,LT0880720,405856707102002,2405:0203:052E:5C38:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0880720,Unique
332,LT0513412,869810058588494,1 Phase,S2S repaired,8991856040706016442,NBPDCL,405856706561464,2405:0203:0528:8690:0000:0000:0000:0010,L&T,LT0513412,405856706561464,2405:0203:0528:8690:0000:0000:0000:0010,MOTS2416,Retired,NBPDCL,LT0513412,2405:0203:0528:8690:0000:0000:0000:0010,Retired,NBPDCL,LT0513412,405856706561464,2405:0203:0528:8690:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0513412,Unique
333,LT0328066,861996077252614,1 Phase,S2S repaired,8991856050706471856,NBPDCL,405856706466856,2405:0203:0525:3234:0000:0000:0000:0010,L&T,LT0328066,405856706466856,2405:0203:0525:3234:0000:0000:0000:0010,MOTS1530,Retired,NBPDCL,LT0328066,2405:0203:0525:3234:0000:0000:0000:0010,Retired,NBPDCL,LT0328066,405856706466856,2405:0203:0525:3234:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0328066,Unique
334,LT1010666,868886068458812,1 Phase,S2S repaired,8991856040706845337,NBPDCL,405856707390340,2405:0203:0530:6A2F:0000:0000:0000:0010,L&T,LT1010666,405856707390340,2405:0203:0530:6A2F:0000:0000:0000:0010,MOTJND37,Retired,NBPDCL,LT1010666,2405:0203:0530:6A2F:0000:0000:0000:0010,Retired,NBPDCL,LT1010666,405856707390340,2405:0203:0530:6A2F:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1010666,Unique
335,LT1012630,861996077262092,1 Phase,S2S repaired,8991856040706743945,NBPDCL,405856707288948,2405:0203:0530:71DB:0000:0000:0000:0010,L&T,LT1012630,405856707288948,2405:0203:0530:71DB:0000:0000:0000:0010,MOTM989,Retired,NBPDCL,LT1012630,2405:0203:0530:71DB:0000:0000:0000:0010,Retired,NBPDCL,LT1012630,405856707288948,2405:0203:0530:71DB:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1012630,Unique
336,LT1015391,868886068711939,1 Phase,S2S repaired,8991856040707115852,NBPDCL,405856707660847,2405:0203:0530:7CA4:0000:0000:0000:0010,L&T,LT1015391,405856707660847,2405:0203:0530:7CA4:0000:0000:0000:0010,JND406,Installed,NBPDCL,LT1015391,2405:0203:0530:7CA4:0000:0000:0000:0010,Installed,NBPDCL,LT1015391,405856707660847,2405:0203:0530:7CA4:0000:0000:0000:0010,Installed,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT1015391,Unique
